Wing/Maw,Wing/MAW Code,Org,Org Code,Type Model,TMS,Location,BUNO,Quarter End Date
CHSCWL,AZP,OPS KEY WEST,A0K,H-60,MH-60S,Norfolk,165767,"Dec 31, 2021"
CHSCWL,AZP,OPS KEY WEST,A0K,H-60,MH-60S,Key West NAS,165767,"Mar 31, 2022"
CHSCWL,AZP,OPS KEY WEST,A0K,H-60,MH-60S,Key West NAS,165767,"Mar 31, 2021"
CHSCWL,AZP,OPS KEY WEST,A0K,H-60,MH-60S,Key West NAS,165767,"Sep 30, 2021"
CHSCWL,AZP,OPS KEY WEST,A0K,H-60,MH-60S,Key West NAS,165767,"Jun 30, 2021"
CHSCWL,AZP,OPS KEY WEST,A0K,H-60,MH-60S,Key West NAS,165771,"Mar 31, 2022"
CHSCWL,AZP,OPS KEY WEST,A0K,H-60,MH-60S,Key West NAS,165771,"Dec 31, 2021"
CHSCWL,AZP,OPS KEY WEST,A0K,H-60,MH-60S,Key West NAS,165771,"Mar 31, 2021"
CHSCWL,AZP,OPS KEY WEST,A0K,H-60,MH-60S,Key West NAS,165771,"Jun 30, 2021"
CHSCWL,AZP,OPS KEY WEST,A0K,H-60,MH-60S,Key West NAS,165771,"Sep 30, 2021"
CHSCWL,AZP,OPS KEY WEST,A0K,H-60,MH-60S,Norfolk,166294,"Mar 31, 2021"
CHSCWL,AZP,OPS KEY WEST,A0K,H-60,MH-60S,Key West NAS,166294,"Dec 31, 2021"
CHSCWL,AZP,OPS KEY WEST,A0K,H-60,MH-60S,Key West NAS,166294,"Sep 30, 2021"
CHSCWL,AZP,OPS KEY WEST,A0K,H-60,MH-60S,Key West NAS,166294,"Jun 30, 2021"
CHSCWL,AZP,OPS KEY WEST,A0K,H-60,MH-60S,Key West NAS,166294,"Mar 31, 2022"
CHSCWL,AZP,HM-12,A41,H-53,MH-53E,Cherry Point,162508,"Mar 31, 2021"
CHSCWL,AZP,HM-12,A41,H-53,MH-53E,Norfolk,162516,"Jun 30, 2021"
CHSCWL,AZP,HM-12,A41,H-53,MH-53E,Norfolk,162516,"Dec 31, 2021"
CHSCWL,AZP,HM-12,A41,H-53,MH-53E,Norfolk,162516,"Sep 30, 2021"
CHSCWL,AZP,HM-12,A41,H-53,MH-53E,Norfolk,162516,"Mar 31, 2022"
CHSCWL,AZP,HM-12,A41,H-53,MH-53E,Norfolk,162516,"Mar 31, 2021"
CHSCWL,AZP,HM-12,A41,H-53,MH-53E,Norfolk,163057,"Mar 31, 2021"
CHSCWL,AZP,HM-12,A41,H-53,MH-53E,Norfolk,163057,"Mar 31, 2022"
CHSCWL,AZP,HM-12,A41,H-53,MH-53E,Norfolk,163057,"Dec 31, 2021"
CHSCWL,AZP,HM-12,A41,H-53,MH-53E,Norfolk,163057,"Sep 30, 2021"
CHSCWL,AZP,HM-12,A41,H-53,MH-53E,Norfolk,163057,"Jun 30, 2021"
CHSCWL,AZP,HM-12,A41,H-53,MH-53E,Norfolk,163067,"Mar 31, 2022"
CHSCWL,AZP,HM-12,A41,H-53,MH-53E,Norfolk,163067,"Dec 31, 2021"
CHSCWL,AZP,HM-12,A41,H-53,MH-53E,Norfolk,163067,"Mar 31, 2021"
COMHSMWINGPAC,PY9,HSM-49,Q60,H-60,MH-60R,North Island NAS,168129,"Dec 31, 2021"
COMHSMWINGPAC,PY9,HSM-49,Q60,H-60,MH-60R,North Island NAS,168129,"Jun 30, 2021"
COMHSMWINGPAC,PY9,HSM-49,Q60,H-60,MH-60R,North Island NAS,168129,"Mar 31, 2021"
COMHSMWINGPAC,PY9,HSM-49,Q60,H-60,MH-60R,North Island NAS,168130,"Mar 31, 2022"
COMHSMWINGPAC,PY9,HSM-49,Q60,H-60,MH-60R,North Island NAS,168130,"Dec 31, 2021"
COMHSMWINGPAC,PY9,HSM-49,Q60,H-60,MH-60R,North Island NAS,168130,"Mar 31, 2021"
COMHSMWINGPAC,PY9,HSM-49,Q60,H-60,MH-60R,North Island NAS,168130,"Jun 30, 2021"
COMHSMWINGPAC,PY9,HSM-49,Q60,H-60,MH-60R,North Island NAS,168157,"Sep 30, 2021"
COMHSMWINGPAC,PY9,HSM-49,Q60,H-60,MH-60R,North Island NAS,168157,"Mar 31, 2022"
COMHSMWINGPAC,PY9,HSM-49,Q60,H-60,MH-60R,North Island NAS,168157,"Dec 31, 2021"
COMHSMWINGPAC,PY9,HSM-49 DET 3,Q63,H-60,MH-60R,USS Makin Island,166542,"Mar 31, 2021"
COMHSMWINGPAC,PY9,HSM-49 DET 3,Q63,H-60,MH-60R,USS Makin Island,167056,"Mar 31, 2021"
COMHSMWINGPAC,PY9,HSM-49 DET 4,Q64,H-60,MH-60R,USS Sampson,166586,"Mar 31, 2022"
COMHSMWINGPAC,PY9,HSM-49 DET 4,Q64,H-60,MH-60R,USS Sampson,167068,"Mar 31, 2022"
COMHSMWINGPAC,PY9,HSM-49 DET 5,Q65,H-60,MH-60R,USS Mustin,168129,"Sep 30, 2021"
COMHSMWINGPAC,PY9,HSM-49 DET 5,Q65,H-60,MH-60R,USS Mustin,168130,"Sep 30, 2021"
COMHSMWINGPAC,PY9,HSM-51,Q70,H-60,MH-60R,Atsugi,167016,"Mar 31, 2021"
COMHSMWINGPAC,PY9,HSM-51,Q70,H-60,MH-60R,Atsugi,167016,"Jun 30, 2021"
